stat,mean,median,stddev,min,max
num_faces,21698.031579,19407.000000,10900.782453,7170.000000,55644.000000
num_vertices,10850.547368,9704.500000,5450.266794,3587.000000,27824.000000
boundingbox_diagonal,1.294634,1.280546,0.153719,1.011437,1.723537
centroid_to_origin,0.000000,0.000000,0.000000,0.000000,0.000000
boundingbox_distance,0.072942,0.059852,0.058296,0.000002,0.325806
max_extent,1.000000,1.000000,0.000000,1.000000,1.000000
area,1.202118,0.878512,0.873607,0.128029,4.116140
pca_pose,1.000000,1.000000,0.000000,1.000000,1.000000
fx,156.807514,81.812134,211.507165,0.320929,1261.336633
fy,59.655348,15.865836,132.544070,0.003904,890.162486
fz,30.561673,6.309772,80.902993,0.001423,943.629654
