,Unnamed: 0,filename,path,area,category,num_faces,num_vertices,max_extent,faces_type,axis_aligned_bounding_box,boundingbox_diagonal,has_holes,is_out_low,is_out_high,centroid,centroid_to_origin,boundingbox_distance,pca_pose,fx,fy,fz
0,95.off,95.off,./reduced-normalized-psb-db/95.off,0.7148626477062782,Ant,14706,7355,1.0,triangles,[1.         0.65584873 0.29350747],1.2313749209508669,False,False,False,[-8.42017729e-17  8.95373285e-17 -4.56771779e-17],1.3112313424726967e-16,0.0421545750763879,1.0,43.445431816868485,29.24113799991688,2.559786717663388
17,99.off,99.off,./reduced-normalized-psb-db/99.off,0.6941734236859806,Ant,13758,6881,1.0,triangles,[1.         0.71013751 0.4057304 ],1.2918639408206651,False,False,False,[-3.05817201e-16 -4.95402683e-18 -3.72030332e-16],4.816173490169167e-16,0.0558799030808586,1.0,88.12693268026126,1.8024957501314127,16.151918896408592
20,194.off,194.off,./reduced-normalized-psb-db/194.off,0.9073617544069572,Hand,16938,8471,1.0,triangles,[1.         0.48126225 0.36487445],1.1682237430410718,False,False,False,[ 2.95691745e-16  2.54006707e-16 -2.15216956e-16],4.452767147696519e-16,0.1035994094150642,1.0,192.91968411332363,1.4502130167174754,32.46543362673865
37,188.off,188.off,./reduced-normalized-psb-db/188.off,1.047434272405651,Hand,17202,8603,1.0,triangles,[1.         0.70520726 0.57673764],1.3527540751856493,False,False,False,[-1.14800990e-16  1.01023205e-16  2.29181469e-16],2.7551606314804037e-16,0.153582430897328,1.0,206.0562857091305,166.14361632280443,46.621594994107056
40,35.off,35.off,./reduced-normalized-psb-db/35.off,2.652331903962904,Cup,30268,15136,1.0,triangles,[1.         0.65026541 0.62378768],1.3460892162154368,False,False,False,[ 1.23343478e-16 -7.49300418e-18 -3.41750354e-17],1.282095614952808e-16,0.0467892505083613,1.0,239.8551177870988,3.585625432040531,1.4631865655769043
57,29.off,29.off,./reduced-normalized-psb-db/29.off,2.949956855574813,Cup,30254,15127,1.0,triangles,[1.         0.99891625 0.56985762],1.5239984864658334,False,False,False,[ 7.80476186e-16 -1.07385823e-16  3.70402876e-19],7.878292514237124e-16,0.0661370152601426,1.0,670.4487292053977,206.8783846346965,1.0986362863196184
60,209.off,209.off,./reduced-normalized-psb-db/209.off,0.6297877181656177,Plier,10216,5110,1.0,triangles,[1.         0.87514303 0.1047676 ],1.3329859616093624,False,False,False,[4.01924837e-17 9.46091579e-17 2.65081225e-18],1.028268218950632e-16,0.0473953665406354,1.0,0.3297670548005867,19.16053102129292,0.1258755390658558
77,211.off,211.off,./reduced-normalized-psb-db/211.off,0.4908711944791959,Plier,8564,4284,1.0,triangles,[1.         0.6540124  0.09031526],1.1982858869645203,False,False,False,[ 8.80041053e-18 -1.18674399e-16 -1.13219007e-18],1.1900563860938422e-16,0.0320390614458715,1.0,1.2221673360806151,8.347400426089552,0.1123950931362832
80,108.off,108.off,./reduced-normalized-psb-db/108.off,1.0558623848343127,Chair,21008,10500,1.0,triangles,[1.         0.48777122 0.55321526],1.2425650442458238,False,False,False,[ 3.44568336e-16 -1.65157655e-16 -4.84403945e-17],3.8516342054478296e-16,0.0247531223371138,1.0,102.06562654183352,1.3204163095235872,6.85500734039705
97,104.off,104.off,./reduced-normalized-psb-db/104.off,0.7346028079134507,Chair,17306,8653,1.0,triangles,[1.         0.41195757 0.5078336 ],1.1948238385740817,False,False,False,[ 5.59916617e-15  1.68294979e-16 -1.58766645e-15],5.8223422930130805e-15,0.0443260717506527,1.0,46.4239961495578,3.6555479744709154,20.19205797949541
