True,Airplane,Ant,Armadillo,Bearing,Bird,Bust,Chair,Cup,Fish,FourLeg,Glasses,Hand,Human,Mech,Octopus,Plier,Table,Teddy,Vase
Airplane,60,2,0,0,6,0,1,0,5,1,1,2,19,0,2,1,0,0,0
Ant,0,39,3,0,13,0,0,0,1,14,0,10,6,0,14,0,0,0,0
Armadillo,0,8,34,5,1,2,0,1,4,7,0,6,2,0,5,0,1,21,3
Bearing,0,0,2,38,4,2,0,0,27,2,1,0,3,0,4,3,0,11,3
Bird,9,18,3,1,24,0,0,0,2,3,0,3,14,0,10,10,3,0,0
Bust,0,0,1,1,0,57,0,0,0,2,0,2,0,8,0,0,0,10,19
Chair,0,0,0,0,0,0,88,0,0,0,0,0,0,0,4,0,8,0,0
Cup,0,0,4,0,0,3,0,78,0,0,0,1,0,2,0,0,10,0,2
Fish,2,1,1,11,1,0,0,0,62,10,0,3,4,0,0,0,0,2,3
FourLeg,5,12,5,0,1,2,0,0,10,25,0,11,10,0,4,0,0,14,1
Glasses,5,0,0,2,5,0,4,0,0,3,62,0,4,0,0,5,10,0,0
Hand,2,16,6,0,3,3,0,0,5,16,0,21,19,0,1,0,1,3,4
Human,21,11,4,1,11,0,0,0,2,7,0,11,29,0,3,0,0,0,0
Mech,0,0,0,0,0,16,0,0,0,0,0,0,0,81,0,0,0,1,2
Octopus,0,17,13,4,15,0,1,0,3,4,0,3,8,0,30,0,0,1,1
Plier,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,85,0,0,0
Table,3,0,8,0,8,0,13,5,0,0,14,1,0,0,1,0,47,0,0
Teddy,0,0,15,5,0,7,0,0,0,8,0,1,0,0,1,0,0,53,10
Vase,0,0,3,3,0,34,0,1,5,3,0,8,1,3,0,0,0,13,26
