,True Label,Precision,Recall,F1
0,Ant,0.3716216216216216,0.55,0.4435483870967742
1,Mech,0.8247422680412371,0.8,0.8121827411167513
2,Glasses,0.8,0.6,0.6857142857142857
3,Chair,0.7924528301886793,0.84,0.8155339805825242
4,Octopus,0.1794871794871795,0.14,0.15730337078651685
5,Bust,0.3894736842105263,0.37,0.37948717948717947
6,Table,0.6944444444444444,0.5,0.5813953488372093
7,Teddy,0.5039370078740157,0.64,0.5638766519823788
8,Airplane,0.5645161290322581,0.7,0.625
9,Bearing,0.3561643835616438,0.26,0.30057803468208094
10,Vase,0.23404255319148937,0.11,0.14965986394557823
11,Fish,0.463768115942029,0.64,0.5378151260504201
12,Cup,0.8021978021978022,0.73,0.7643979057591622
13,Armadillo,0.26262626262626265,0.26,0.2613065326633166
14,Bird,0.29523809523809524,0.31,0.3024390243902439
15,Human,0.3211009174311927,0.35,0.3349282296650718
16,Plier,0.88,0.88,0.88
17,FourLeg,0.30578512396694213,0.37,0.334841628959276
18,Hand,0.16842105263157894,0.16,0.1641025641025641
19,OVERALL,0.48473786693089466,0.48473684210526313,0.47863741346428074
