,True Label,Precision,Recall,F1
0,Cup,0.9052631578947369,0.86,0.8820512820512821
1,Human,0.5604395604395604,0.51,0.5340314136125655
2,Bird,0.6941176470588235,0.59,0.6378378378378378
3,Armadillo,0.415929203539823,0.47,0.4413145539906103
4,Bust,0.45544554455445546,0.46,0.4577114427860697
5,Teddy,0.5492957746478874,0.78,0.6446280991735538
6,Plier,0.9,0.99,0.9428571428571428
7,Airplane,0.7016129032258065,0.87,0.7767857142857143
8,Fish,0.6260162601626016,0.77,0.6905829596412556
9,Ant,0.6538461538461539,0.85,0.7391304347826088
10,Mech,0.7884615384615384,0.82,0.803921568627451
11,Chair,0.8349514563106796,0.86,0.8472906403940887
12,Hand,0.41836734693877553,0.41,0.41414141414141414
13,Table,0.7444444444444445,0.67,0.7052631578947369
14,Vase,0.5909090909090909,0.39,0.46987951807228917
15,Bearing,0.75,0.48,0.5853658536585366
16,Glasses,0.9886363636363636,0.87,0.925531914893617
17,FourLeg,0.5319148936170213,0.5,0.5154639175257731
18,Octopus,0.620253164556962,0.49,0.547486033519553
19,OVERALL,0.669994973907617,0.6652631578947369,0.6611197315655843
