,True Label,Precision,Recall
0,Ant,0.42567567567567566,0.63
1,Mech,0.8404255319148937,0.79
2,Glasses,0.7790697674418605,0.67
3,Chair,0.8482142857142857,0.95
4,Octopus,0.3157894736842105,0.24
5,Bust,0.4107142857142857,0.46
6,Table,0.7397260273972602,0.54
7,Teddy,0.43609022556390975,0.58
8,Airplane,0.6052631578947368,0.69
9,Bearing,0.4714285714285714,0.33
10,Vase,0.32075471698113206,0.17
11,Fish,0.5112781954887218,0.68
12,Cup,0.8777777777777778,0.79
13,Armadillo,0.2523364485981308,0.27
14,Bird,0.30526315789473685,0.29
15,Human,0.3592233009708738,0.37
16,Plier,0.875,0.91
17,FourLeg,0.34285714285714286,0.36
18,Hand,0.21739130434782608,0.2
19,OVERALL,0.5228567919655807,0.5221052631578947
