,True Label,Precision,Recall,F1
0,Ant,0.3464566929133858,0.44,0.3876651982378854
1,Mech,0.48623853211009177,0.53,0.5071770334928231
2,Glasses,0.7313432835820896,0.49,0.5868263473053892
3,Chair,0.41346153846153844,0.43,0.4215686274509804
4,Octopus,0.08235294117647059,0.07,0.0756756756756757
5,Bust,0.23300970873786409,0.24,0.23645320197044334
6,Table,0.38317757009345793,0.41,0.3961352657004831
7,Teddy,0.5217391304347826,0.6,0.5581395348837209
8,Airplane,0.49137931034482757,0.57,0.5277777777777778
9,Bearing,0.2987012987012987,0.23,0.25988700564971756
10,Vase,0.1774193548387097,0.11,0.13580246913580246
11,Fish,0.4140625,0.53,0.4649122807017544
12,Cup,0.43902439024390244,0.36,0.3956043956043956
13,Armadillo,0.2159090909090909,0.19,0.2021276595744681
14,Bird,0.2169811320754717,0.23,0.22330097087378642
15,Human,0.2897196261682243,0.31,0.2995169082125604
16,Plier,0.776595744680851,0.73,0.7525773195876287
17,FourLeg,0.29838709677419356,0.37,0.33035714285714285
18,Hand,0.13131313131313133,0.13,0.1306532663316583
19,OVERALL,0.3656458986083886,0.3668421052631579,0.3627451621591628
