,True Label,Precision,Recall
0,Ant,0.31451612903225806,0.39
1,Mech,0.8617021276595744,0.81
2,Glasses,0.7948717948717948,0.62
3,Chair,0.822429906542056,0.88
4,Octopus,0.379746835443038,0.3
5,Bust,0.4523809523809524,0.57
6,Table,0.5875,0.47
7,Teddy,0.4108527131782946,0.53
8,Airplane,0.5607476635514018,0.6
9,Bearing,0.5352112676056338,0.38
10,Vase,0.35135135135135137,0.26
11,Fish,0.49206349206349204,0.62
12,Cup,0.9176470588235294,0.78
13,Armadillo,0.3333333333333333,0.34
14,Bird,0.22857142857142856,0.24
15,Human,0.2396694214876033,0.29
16,Plier,0.8173076923076923,0.85
17,FourLeg,0.23809523809523808,0.25
18,Hand,0.25301204819277107,0.21
19,OVERALL,0.5047900239206023,0.4942105263157895
