,filename,path,category,area,volume,aabb_volume,compactness,diameter,eccentricity,a3_0,a3_1,a3_2,a3_3,a3_4,a3_5,a3_6,a3_7,a3_8,a3_9,d1_0,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_8,d1_9,d2_0,d2_1,d2_2,d2_3,d2_4,d2_5,d2_6,d2_7,d2_8,d2_9,d3_0,d3_1,d3_2,d3_3,d3_4,d3_5,d3_6,d3_7,d3_8,d3_9,d4_0,d4_1,d4_2,d4_3,d4_4,d4_5,d4_6,d4_7,d4_8,d4_9
0,95.off,./normalized-psb-db/Ant/95.off,Ant,0.4202162206974598,0.519427982812847,0.41903528121848854,0.45599717480914903,0.41417685264963044,0.5163676783827301,0.1725,0.2035,0.1545,0.1105,0.0905,0.076,0.073,0.0575,0.0455,0.0165,0.233,0.492,0.266,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.1565,0.3485,0.2705,0.1575,0.06,0.007,0.0,0.0,0.0,0.0,0.0855,0.4035,0.3755,0.115,0.0195,0.001,0.0,0.0,0.0,0.0,0.653,0.345,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,81.off,./normalized-psb-db/Ant/81.off,Ant,0.41025044316270126,0.47267087572368993,0.4512853926003789,0.46836137455557825,0.40588311097103885,0.44477199515892835,0.1735,0.2165,0.164,0.121,0.091,0.0715,0.064,0.056,0.0315,0.011,0.257,0.514,0.207,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.3735,0.2745,0.1265,0.0505,0.008,0.0,0.0,0.0,0.0,0.0995,0.4145,0.37,0.1115,0.0045,0.0,0.0,0.0,0.0,0.0,0.624,0.3725,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,94.off,./normalized-psb-db/Ant/94.off,Ant,0.41479007768468784,0.47499782873913626,0.463371403518459,0.5051604731031645,0.39819318127414427,0.5130715463559103,0.171,0.1905,0.1695,0.138,0.0905,0.075,0.0485,0.0525,0.0485,0.016,0.243,0.461,0.281,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.1575,0.3145,0.324,0.153,0.045,0.006,0.0,0.0,0.0,0.0,0.0985,0.3915,0.3225,0.1395,0.044,0.004,0.0,0.0,0.0,0.0,0.6685,0.33,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,82.off,./normalized-psb-db/Ant/82.off,Ant,0.4417175785351993,0.5248197386205632,0.5284198897138918,0.4658042671097012,0.43399812031877255,0.43578797483473586,0.1705,0.2205,0.1665,0.1115,0.088,0.0905,0.064,0.043,0.035,0.0105,0.23,0.418,0.345,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.306,0.304,0.168,0.0795,0.0135,0.0,0.0,0.0,0.0,0.0685,0.3435,0.3755,0.1795,0.0305,0.0025,0.0,0.0,0.0,0.0,0.5035,0.48,0.0165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,96.off,./normalized-psb-db/Ant/96.off,Ant,0.43161165052659894,0.5168237633325042,0.41812769198856126,0.5019041093410971,0.4389934936444539,0.5283705830812654,0.1615,0.187,0.1705,0.1295,0.1015,0.0685,0.07,0.0565,0.0355,0.0195,0.246,0.472,0.271,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.1285,0.333,0.317,0.167,0.0465,0.008,0.0,0.0,0.0,0.0,0.0835,0.3895,0.3475,0.1345,0.0395,0.0055,0.0,0.0,0.0,0.0,0.644,0.353,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,97.off,./normalized-psb-db/Ant/97.off,Ant,0.4343499487359956,0.517867945802394,0.39253208390786465,0.4990300791467052,0.4614185572091701,0.5095914418102215,0.158,0.219,0.1615,0.132,0.0975,0.062,0.063,0.058,0.0345,0.0145,0.267,0.498,0.219,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.3735,0.305,0.133,0.0435,0.007,0.0,0.0,0.0,0.0,0.0825,0.424,0.3475,0.122,0.024,0.0,0.0,0.0,0.0,0.0,0.6245,0.375,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,83.off,./normalized-psb-db/Ant/83.off,Ant,0.4087053661075215,0.5147052640745202,0.43673051817246444,0.4630474298091858,0.3956178696126219,0.4725156471122391,0.178,0.1995,0.15,0.1255,0.086,0.072,0.0665,0.0575,0.0505,0.0145,0.252,0.503,0.24,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.361,0.269,0.151,0.046,0.007,0.0,0.0,0.0,0.0,0.105,0.399,0.3655,0.117,0.013,0.0005,0.0,0.0,0.0,0.0,0.645,0.3475,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,87.off,./normalized-psb-db/Ant/87.off,Ant,0.43119468748398565,0.4636313707510238,0.5461696278389607,0.454201148539376,0.4763437746224617,0.44873024007482776,0.167,0.2075,0.1795,0.1185,0.0975,0.07,0.0625,0.0505,0.035,0.012,0.23,0.423,0.344,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.1275,0.33,0.307,0.155,0.069,0.0115,0.0,0.0,0.0,0.0,0.075,0.3455,0.3815,0.165,0.033,0.0,0.0,0.0,0.0,0.0,0.5275,0.456,0.0165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,93.off,./normalized-psb-db/Ant/93.off,Ant,0.4372159515567068,0.4616899597120464,0.5023427944871902,0.455070624316776,0.44003375851189414,0.4591022260180505,0.1655,0.217,0.156,0.1075,0.0945,0.0835,0.0695,0.057,0.0355,0.014,0.19,0.422,0.38,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.292,0.279,0.2035,0.0835,0.017,0.0,0.0,0.0,0.0,0.0825,0.2955,0.3665,0.192,0.054,0.0095,0.0,0.0,0.0,0.0,0.5285,0.446,0.0255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,92.off,./normalized-psb-db/Ant/92.off,Ant,0.4000553260326825,0.4743205592324287,0.41491801037107984,0.4576016669584334,0.4331927140712022,0.47815674872078884,0.2125,0.2155,0.135,0.086,0.0845,0.0775,0.067,0.062,0.041,0.019,0.244,0.493,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186,0.3585,0.2495,0.1525,0.046,0.0075,0.0,0.0,0.0,0.0,0.114,0.4555,0.3435,0.082,0.0045,0.0005,0.0,0.0,0.0,0.0,0.7015,0.2965,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
