,filename,path,category,area,volume,aabb_volume,compactness,diameter,eccentricity,a3_0,a3_1,a3_2,a3_3,a3_4,a3_5,a3_6,a3_7,a3_8,a3_9,d1_0,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_8,d1_9,d2_0,d2_1,d2_2,d2_3,d2_4,d2_5,d2_6,d2_7,d2_8,d2_9,d3_0,d3_1,d3_2,d3_3,d3_4,d3_5,d3_6,d3_7,d3_8,d3_9,d4_0,d4_1,d4_2,d4_3,d4_4,d4_5,d4_6,d4_7,d4_8,d4_9
0,95.off,./normalized-psb-db/Ant/95.off,Ant,0.7148626477094051,0.019198224313312272,0.15175248703894675,991.1643947095199,1.0171673284230436,21.429680149910997,0.19,0.201,0.16,0.1215,0.0875,0.067,0.069,0.0495,0.0375,0.017,0.079,0.214,0.3,0.265,0.121,0.021,0.0,0.0,0.0,0.0,0.1,0.2765,0.256,0.191,0.116,0.047,0.0135,0.0,0.0,0.0,0.0525,0.29,0.355,0.2225,0.064,0.0155,0.0005,0.0,0.0,0.0,0.1445,0.4995,0.307,0.047,0.002,0.0,0.0,0.0,0.0,0.0
1,81.off,./normalized-psb-db/Ant/81.off,Ant,0.6539997064267853,-0.015525913473632073,0.18781773660464207,1160.4283681071154,1.0079090980082224,8.669880050731484,0.151,0.2155,0.172,0.1165,0.0965,0.071,0.064,0.0565,0.0415,0.0155,0.053,0.28,0.333,0.219,0.096,0.019,0.0,0.0,0.0,0.0,0.107,0.2895,0.2635,0.2015,0.0835,0.045,0.01,0.0,0.0,0.0,0.0505,0.277,0.3805,0.2365,0.0515,0.004,0.0,0.0,0.0,0.0,0.145,0.4965,0.2895,0.068,0.001,0.0,0.0,0.0,0.0,0.0
2,94.off,./normalized-psb-db/Ant/94.off,Ant,0.6817241371992526,-0.013797803199871318,0.20133350387914023,1664.202309434212,0.9991800345919468,20.84224269741468,0.1745,0.195,0.1545,0.121,0.09,0.084,0.0665,0.058,0.0375,0.019,0.084,0.239,0.271,0.272,0.115,0.019,0.0,0.0,0.0,0.0,0.0995,0.2505,0.2805,0.2185,0.108,0.0335,0.0095,0.0,0.0,0.0,0.055,0.293,0.311,0.2045,0.0965,0.0355,0.0045,0.0,0.0,0.0,0.145,0.5065,0.292,0.0545,0.002,0.0,0.0,0.0,0.0,0.0
3,82.off,./normalized-psb-db/Ant/82.off,Ant,0.846175621033432,0.023202408559007657,0.2740771251562538,1125.421964492621,1.0119886067917698,7.068745760758647,0.149,0.2125,0.1705,0.126,0.106,0.08,0.0655,0.0445,0.0355,0.0105,0.047,0.216,0.246,0.279,0.198,0.014,0.0,0.0,0.0,0.0,0.0785,0.2225,0.2795,0.2295,0.1065,0.064,0.019,0.0005,0.0,0.0,0.039,0.2115,0.3445,0.2565,0.1095,0.035,0.004,0.0,0.0,0.0,0.102,0.399,0.3355,0.139,0.022,0.0025,0.0,0.0,0.0,0.0
4,96.off,./normalized-psb-db/Ant/96.off,Ant,0.7844567535543449,0.017264202264205712,0.15073753141002308,1619.6231955004814,1.0295267709777889,23.56884074824013,0.178,0.2165,0.1495,0.126,0.1,0.0765,0.069,0.046,0.0295,0.009,0.049,0.268,0.269,0.258,0.132,0.024,0.0,0.0,0.0,0.0,0.0865,0.261,0.268,0.217,0.1205,0.0405,0.006,0.0005,0.0,0.0,0.048,0.2555,0.35,0.219,0.09,0.0305,0.007,0.0,0.0,0.0,0.15,0.478,0.316,0.056,0.0,0.0,0.0,0.0,0.0,0.0
5,97.off,./normalized-psb-db/Ant/97.off,Ant,0.8011800731901217,0.01803966375479852,0.12211400257054102,1580.2781687018069,1.0418565543412552,20.22201761780438,0.16,0.212,0.168,0.125,0.0915,0.0835,0.065,0.055,0.0325,0.0075,0.059,0.276,0.284,0.262,0.098,0.021,0.0,0.0,0.0,0.0,0.093,0.2605,0.2805,0.211,0.1095,0.033,0.012,0.0005,0.0,0.0,0.0345,0.286,0.3765,0.2105,0.0745,0.0175,0.0005,0.0,0.0,0.0,0.123,0.504,0.34,0.033,0.0,0.0,0.0,0.0,0.0,0.0
6,83.off,./normalized-psb-db/Ant/83.off,Ant,0.6445636204055449,0.015690900049517696,0.17154104309421728,1087.6812902018564,1.0048441738989937,13.614360458005084,0.174,0.22,0.152,0.104,0.0895,0.0855,0.0665,0.0515,0.047,0.01,0.095,0.204,0.31,0.261,0.118,0.012,0.0,0.0,0.0,0.0,0.0905,0.274,0.297,0.192,0.097,0.0395,0.0095,0.0005,0.0,0.0,0.054,0.2975,0.371,0.203,0.065,0.0095,0.0,0.0,0.0,0.0,0.1515,0.501,0.287,0.0555,0.005,0.0,0.0,0.0,0.0,0.0
7,87.off,./normalized-psb-db/Ant/87.off,Ant,0.7819102791732861,-0.0222390964684247,0.29392662978667244,966.5770741402248,1.0336195355824238,9.37531942355781,0.1705,0.188,0.1695,0.117,0.0965,0.0705,0.0735,0.0565,0.046,0.012,0.108,0.188,0.241,0.248,0.186,0.029,0.0,0.0,0.0,0.0,0.083,0.245,0.2635,0.206,0.1215,0.054,0.0265,0.0005,0.0,0.0,0.0455,0.2245,0.351,0.2465,0.1025,0.028,0.002,0.0,0.0,0.0,0.119,0.417,0.3605,0.0845,0.0185,0.0005,0.0,0.0,0.0,0.0
8,93.off,./normalized-psb-db/Ant/93.off,Ant,0.8186833097197734,-0.023680884222530164,0.24491514998777422,978.4800624349735,1.01181876483385,11.223817284152622,0.185,0.1865,0.161,0.124,0.099,0.0785,0.07,0.0535,0.0315,0.011,0.045,0.209,0.247,0.243,0.223,0.033,0.0,0.0,0.0,0.0,0.09,0.231,0.243,0.22,0.134,0.062,0.019,0.001,0.0,0.0,0.046,0.245,0.286,0.2485,0.1275,0.039,0.008,0.0,0.0,0.0,0.1155,0.4145,0.3275,0.1175,0.0245,0.0005,0.0,0.0,0.0,0.0
9,92.off,./normalized-psb-db/Ant/92.off,Ant,0.5917361436400813,-0.014300776996452949,0.1471481494326978,1013.1296429296118,1.009463025490079,14.619718960406047,0.2,0.211,0.1385,0.0945,0.087,0.081,0.063,0.059,0.0485,0.0175,0.08,0.23,0.277,0.248,0.156,0.009,0.0,0.0,0.0,0.0,0.109,0.286,0.2445,0.183,0.118,0.047,0.0125,0.0,0.0,0.0,0.059,0.318,0.37,0.1985,0.0515,0.003,0.0,0.0,0.0,0.0,0.158,0.539,0.27,0.0315,0.0015,0.0,0.0,0.0,0.0,0.0
