,filename,path,category,area,volume,aabb_volume,compactness,diameter,eccentricity,a3_0,a3_1,a3_2,a3_3,a3_4,a3_5,a3_6,a3_7,a3_8,a3_9,d1_0,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_8,d1_9,d2_0,d2_1,d2_2,d2_3,d2_4,d2_5,d2_6,d2_7,d2_8,d2_9,d3_0,d3_1,d3_2,d3_3,d3_4,d3_5,d3_6,d3_7,d3_8,d3_9,d4_0,d4_1,d4_2,d4_3,d4_4,d4_5,d4_6,d4_7,d4_8,d4_9
0,95.off,./reduced-normalized-psb-db/Ant/95.off,Ant,0.7148626477094051,0.019198224313312272,0.15175248703894675,991.1643947095199,1.021391862964434,21.429680149910997,0.19,0.201,0.16,0.1215,0.0875,0.067,0.069,0.0495,0.0375,0.017,0.222,0.504,0.268,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.1585,0.3445,0.2735,0.1565,0.0575,0.0095,0.0,0.0,0.0,0.0,0.088,0.4215,0.3585,0.1135,0.018,0.0005,0.0,0.0,0.0,0.0,0.644,0.354,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,99.off,./reduced-normalized-psb-db/Ant/99.off,Ant,0.6941734236767911,0.014320447746327677,0.2551777856354473,1631.1381839241994,1.0266965923267846,10.62614764707434,0.1545,0.211,0.1665,0.116,0.103,0.0685,0.0645,0.064,0.0415,0.0105,0.266,0.45,0.261,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.146,0.3155,0.316,0.1615,0.0545,0.0065,0.0,0.0,0.0,0.0,0.0995,0.359,0.3455,0.16,0.036,0.0,0.0,0.0,0.0,0.0,0.616,0.374,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,194.off,./reduced-normalized-psb-db/Hand/194.off,Hand,0.9073617543986778,0.02307130454015051,0.15641695001648684,1403.4505181203606,1.0049290719956072,11.320083625623191,0.1685,0.205,0.165,0.124,0.1025,0.074,0.065,0.0485,0.036,0.0115,0.191,0.565,0.214,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.1425,0.384,0.2755,0.148,0.042,0.008,0.0,0.0,0.0,0.0,0.08,0.3655,0.38,0.16,0.0145,0.0,0.0,0.0,0.0,0.0,0.573,0.4235,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,188.off,./reduced-normalized-psb-db/Hand/188.off,Hand,1.0474342724134176,0.03034573617748195,0.2664926578693531,1247.9149414317703,1.0288204291754508,5.2340736598843085,0.137,0.2065,0.179,0.1465,0.12,0.0875,0.051,0.038,0.023,0.0115,0.093,0.524,0.357,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.1225,0.2845,0.2945,0.2135,0.075,0.01,0.0,0.0,0.0,0.0,0.0515,0.276,0.3725,0.2365,0.0565,0.0065,0.0005,0.0,0.0,0.0,0.4295,0.517,0.0535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,35.off,./reduced-normalized-psb-db/Cup/35.off,Cup,2.652331903968119,-0.0984552661305358,0.40223969441555857,1924.8890723292059,1.1620286536326134,3.4700565513653525,0.0945,0.1915,0.1925,0.1765,0.1395,0.0895,0.0635,0.03,0.0195,0.003,0.077,0.321,0.378,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.1825,0.28,0.273,0.108,0.0835,0.02,0.0,0.0,0.0,0.019,0.123,0.267,0.315,0.1775,0.086,0.0125,0.0,0.0,0.0,0.206,0.5415,0.243,0.0095,0.0,0.0,0.0,0.0,0.0,0.0
5,29.off,./reduced-normalized-psb-db/Cup/29.off,Cup,2.9499568555724074,0.058911279884925116,0.3557250375359148,7396.905604628507,1.0694929039284284,2.203072899608023,0.087,0.1745,0.2205,0.203,0.1355,0.0845,0.049,0.028,0.0155,0.0025,0.0,0.415,0.522,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.164,0.295,0.303,0.167,0.025,0.0,0.0,0.0,0.0,0.0205,0.1225,0.235,0.3315,0.2385,0.048,0.004,0.0,0.0,0.0,0.1765,0.5415,0.2735,0.0085,0.0,0.0,0.0,0.0,0.0,0.0
6,209.off,./reduced-normalized-psb-db/Plier/209.off,Plier,0.6297877181694415,0.014039654516260103,0.08624131103848225,1267.2716489131062,1.2021146637504034,68.03124577291833,0.2395,0.185,0.1285,0.1035,0.0795,0.0705,0.0615,0.053,0.0535,0.0255,0.225,0.332,0.301,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.1445,0.242,0.2455,0.207,0.12,0.0385,0.0025,0.0,0.0,0.0,0.114,0.3575,0.263,0.145,0.0805,0.029,0.0105,0.0005,0.0,0.0,0.6405,0.358,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,211.off,./reduced-normalized-psb-db/Plier/211.off,Plier,0.49087119446829386,-0.009995205198643902,0.05651868791128402,1183.9114292129934,1.078347295986808,80.98161556877668,0.2415,0.2005,0.1215,0.0865,0.0705,0.057,0.063,0.0655,0.0645,0.0295,0.298,0.347,0.291,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.1855,0.265,0.2585,0.1675,0.099,0.0245,0.0,0.0,0.0,0.0,0.141,0.4405,0.2385,0.1195,0.048,0.012,0.0005,0.0,0.0,0.0,0.742,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,108.off,./reduced-normalized-psb-db/Chair/108.off,Chair,1.0558623848295414,-0.020111359650575044,0.21206992705244224,2910.3089176906797,1.0637997880115029,3.879711578366817,0.117,0.2005,0.1875,0.1505,0.1325,0.0895,0.05,0.0395,0.024,0.009,0.175,0.552,0.263,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.1235,0.2995,0.366,0.168,0.033,0.01,0.0,0.0,0.0,0.0,0.0555,0.287,0.379,0.222,0.0525,0.004,0.0,0.0,0.0,0.0,0.4245,0.53,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,104.off,./reduced-normalized-psb-db/Chair/104.off,Chair,0.7346028079136513,0.009131354473702745,0.13045619848667978,4754.308377115856,1.052774197699467,4.434785667839145,0.1305,0.1995,0.191,0.1355,0.11,0.101,0.062,0.033,0.025,0.0125,0.266,0.4,0.31,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.2985,0.366,0.1405,0.0525,0.0205,0.0,0.0,0.0,0.0,0.0855,0.289,0.38,0.1985,0.045,0.002,0.0,0.0,0.0,0.0,0.462,0.4995,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
