,filename,path,category,area,volume,aabb_volume,compactness,diameter,eccentricity,a3_0,a3_1,a3_2,a3_3,a3_4,a3_5,a3_6,a3_7,a3_8,a3_9,d1_0,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_8,d1_9,d2_0,d2_1,d2_2,d2_3,d2_4,d2_5,d2_6,d2_7,d2_8,d2_9,d3_0,d3_1,d3_2,d3_3,d3_4,d3_5,d3_6,d3_7,d3_8,d3_9,d4_0,d4_1,d4_2,d4_3,d4_4,d4_5,d4_6,d4_7,d4_8,d4_9
0,95.off,./reduced-normalized-psb-db/Ant/95.off,Ant,0.415948910895433,0.5323649875149247,0.41445509785207435,0.44799614675522703,0.41901334243701227,0.5280245584957198,0.19,0.201,0.16,0.1215,0.0875,0.067,0.069,0.0495,0.0375,0.017,0.222,0.504,0.268,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.1585,0.3445,0.2735,0.1565,0.0575,0.0095,0.0,0.0,0.0,0.0,0.088,0.4215,0.3585,0.1135,0.018,0.0005,0.0,0.0,0.0,0.0,0.644,0.354,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,99.off,./reduced-normalized-psb-db/Ant/99.off,Ant,0.41210608778349933,0.5257390051702119,0.5145079439220911,0.5049065044216431,0.43017044010807526,0.4507922761430523,0.1545,0.211,0.1665,0.116,0.103,0.0685,0.0645,0.064,0.0415,0.0105,0.266,0.45,0.261,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.146,0.3155,0.316,0.1615,0.0545,0.0065,0.0,0.0,0.0,0.0,0.0995,0.359,0.3455,0.16,0.036,0.0,0.0,0.0,0.0,0.0,0.616,0.374,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,194.off,./reduced-normalized-psb-db/Hand/194.off,Hand,0.4517037567536449,0.537626188156296,0.4189674638072537,0.4846591338019361,0.3843882081029002,0.4557530849725613,0.1685,0.205,0.165,0.124,0.1025,0.074,0.065,0.0485,0.036,0.0115,0.191,0.565,0.214,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.1425,0.384,0.2755,0.148,0.042,0.008,0.0,0.0,0.0,0.0,0.08,0.3655,0.38,0.16,0.0145,0.0,0.0,0.0,0.0,0.0,0.573,0.4235,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,188.off,./reduced-normalized-psb-db/Hand/188.off,Hand,0.4777208712053646,0.5475077919843646,0.5254538651355997,0.47082796532539295,0.4346373701886463,0.4122454230155414,0.137,0.2065,0.179,0.1465,0.12,0.0875,0.051,0.038,0.023,0.0115,0.093,0.524,0.357,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.1225,0.2845,0.2945,0.2135,0.075,0.01,0.0,0.0,0.0,0.0,0.0515,0.276,0.3725,0.2365,0.0565,0.0065,0.0005,0.0,0.0,0.0,0.4295,0.517,0.0535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,35.off,./reduced-normalized-psb-db/Cup/35.off,Cup,0.7758150723752102,0.37254422906704676,0.6567745143029398,0.5310286181795685,0.714805701000326,0.39963481927419103,0.0945,0.1915,0.1925,0.1765,0.1395,0.0895,0.0635,0.03,0.0195,0.003,0.077,0.321,0.378,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.1825,0.28,0.273,0.108,0.0835,0.02,0.0,0.0,0.0,0.019,0.123,0.267,0.315,0.1775,0.086,0.0125,0.0,0.0,0.0,0.206,0.5415,0.243,0.0095,0.0,0.0,0.0,0.0,0.0,0.0
5,29.off,./reduced-normalized-psb-db/Cup/29.off,Cup,0.8310960264076173,0.5863112889616044,0.6117765895404956,1.0176335749104304,0.520181182576795,0.3905774078115011,0.087,0.1745,0.2205,0.203,0.1355,0.0845,0.049,0.028,0.0155,0.0025,0.0,0.415,0.522,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.164,0.295,0.303,0.167,0.025,0.0,0.0,0.0,0.0,0.0205,0.1225,0.235,0.3315,0.2385,0.048,0.004,0.0,0.0,0.0,0.1765,0.5415,0.2735,0.0085,0.0,0.0,0.0,0.0,0.0,0.0
6,209.off,./reduced-normalized-psb-db/Plier/209.off,Plier,0.4001470661782536,0.5253575750330597,0.35108008518895367,0.47254928136141183,0.7991160398654233,0.8611697842195698,0.2395,0.185,0.1285,0.1035,0.0795,0.0705,0.0615,0.053,0.0535,0.0255,0.225,0.332,0.301,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.1445,0.242,0.2455,0.207,0.12,0.0385,0.0025,0.0,0.0,0.0,0.114,0.3575,0.263,0.145,0.0805,0.029,0.0105,0.0005,0.0,0.0,0.6405,0.358,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,211.off,./reduced-normalized-psb-db/Plier/211.off,Plier,0.3743446664813518,0.49270856908913824,0.3223266459734221,0.46513638414869013,0.5388040585550431,0.953749374865738,0.2415,0.2005,0.1215,0.0865,0.0705,0.057,0.063,0.0655,0.0645,0.0295,0.298,0.347,0.291,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.1855,0.265,0.2585,0.1675,0.099,0.0245,0.0,0.0,0.0,0.0,0.141,0.4405,0.2385,0.1195,0.048,0.012,0.0005,0.0,0.0,0.0,0.742,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,108.off,./reduced-normalized-psb-db/Chair/108.off,Chair,0.4792863115105013,0.47896676278161404,0.47280572988217545,0.6186581380071275,0.5082072163291226,0.40256336072156107,0.117,0.2005,0.1875,0.1505,0.1325,0.0895,0.05,0.0395,0.024,0.009,0.175,0.552,0.263,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.1235,0.2995,0.366,0.168,0.033,0.01,0.0,0.0,0.0,0.0,0.0555,0.287,0.379,0.222,0.0525,0.004,0.0,0.0,0.0,0.0,0.4245,0.53,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,104.off,./reduced-normalized-psb-db/Chair/104.off,Chair,0.4196154545872878,0.5186901295324465,0.3938532305207991,0.7826377736439889,0.48501779805915746,0.4065314738173027,0.1305,0.1995,0.191,0.1355,0.11,0.101,0.062,0.033,0.025,0.0125,0.266,0.4,0.31,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.2985,0.366,0.1405,0.0525,0.0205,0.0,0.0,0.0,0.0,0.0855,0.289,0.38,0.1985,0.045,0.002,0.0,0.0,0.0,0.0,0.462,0.4995,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
