,filename,path,category,area,volume,aabb_volume,compactness,diameter,eccentricity,a3_0,a3_1,a3_2,a3_3,a3_4,a3_5,a3_6,a3_7,a3_8,a3_9,d1_0,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_8,d1_9,d2_0,d2_1,d2_2,d2_3,d2_4,d2_5,d2_6,d2_7,d2_8,d2_9,d3_0,d3_1,d3_2,d3_3,d3_4,d3_5,d3_6,d3_7,d3_8,d3_9,d4_0,d4_1,d4_2,d4_3,d4_4,d4_5,d4_6,d4_7,d4_8,d4_9
0,95.off,./reduced-normalized-psb-db/Ant/95.off,Ant,0.42782838530067113,0.43393534394834354,0.44239717899241005,0.4479961467508674,0.5432055793325024,0.5280633332431561,0.1725,0.2035,0.1545,0.1105,0.0905,0.076,0.073,0.0575,0.0455,0.0165,0.077,0.182,0.275,0.263,0.137,0.066,0.0,0.0,0.0,0.0,0.0335167583791896,0.15057528764382191,0.18409204602301152,0.18509254627313657,0.15307653826913456,0.12556278139069535,0.08054027013506754,0.05152576288144072,0.026013006503251626,0.010005002501250625,0.011,0.096,0.215,0.241,0.221,0.13,0.051,0.0255,0.0085,0.001,0.1875,0.539,0.2455,0.027,0.001,0.0,0.0,0.0,0.0,0.0
1,99.off,./reduced-normalized-psb-db/Ant/99.off,Ant,0.41227982746712627,0.41771990621408506,0.538432467115421,0.5049065044189298,0.46893823474072494,0.4508135221451002,0.176,0.2105,0.135,0.1175,0.1035,0.0725,0.0705,0.057,0.042,0.0155,0.065,0.243,0.248,0.26,0.145,0.039,0.0,0.0,0.0,0.0,0.0445,0.1435,0.1765,0.1955,0.1735,0.1205,0.08,0.045,0.0165,0.0045,0.019,0.104,0.2195,0.2525,0.182,0.1135,0.075,0.0265,0.007,0.001,0.188,0.515,0.233,0.059,0.0045,0.0005,0.0,0.0,0.0,0.0
2,194.off,./reduced-normalized-psb-db/Hand/194.off,Hand,0.4555833514287656,0.43683068970120525,0.4251157882688781,0.4846591337988886,0.3952983614387264,0.4557754568857682,0.151,0.208,0.1795,0.1455,0.0915,0.0735,0.066,0.049,0.026,0.01,0.035,0.233,0.328,0.233,0.124,0.047,0.0,0.0,0.0,0.0,0.0415,0.145,0.203,0.2165,0.1515,0.1175,0.064,0.036,0.019,0.006,0.014,0.101,0.207,0.248,0.227,0.133,0.056,0.0135,0.0005,0.0,0.1695,0.507,0.283,0.0405,0.0,0.0,0.0,0.0,0.0,0.0
3,188.off,./reduced-normalized-psb-db/Hand/188.off,Hand,0.49114505336505404,0.4559382612413688,0.5540566569303323,0.4708279653258617,0.48403528843408067,0.4122579203698799,0.141,0.1925,0.184,0.1565,0.112,0.081,0.0615,0.0435,0.021,0.007,0.011,0.15,0.288,0.3,0.183,0.065,0.003,0.0,0.0,0.0,0.043043043043043044,0.1046046046046046,0.14714714714714713,0.16466466466466467,0.16916916916916916,0.17867867867867868,0.0970970970970971,0.06056056056056056,0.02902902902902903,0.006006006006006006,0.006006006006006006,0.07657657657657657,0.14764764764764765,0.18868868868868868,0.1971971971971972,0.18118118118118118,0.12112112112112113,0.05855855855855856,0.01701701701701702,0.006006006006006006,0.106,0.391,0.3595,0.1225,0.021,0.0,0.0,0.0,0.0,0.0
4,35.off,./reduced-normalized-psb-db/Cup/35.off,Cup,0.6894851868882212,0.530741716875121,0.5397694143696893,0.5310286181810676,0.40356728088598426,0.3996444545085682,0.11,0.1855,0.189,0.164,0.1415,0.0905,0.063,0.0375,0.0125,0.0065,0.025,0.125,0.231,0.217,0.306,0.096,0.0,0.0,0.0,0.0,0.025050100200400802,0.07565130260521043,0.10821643286573146,0.1683366733466934,0.2029058116232465,0.1743486973947896,0.08667334669338678,0.06813627254509018,0.062625250501002,0.028056112224448898,0.003,0.035,0.0895,0.165,0.215,0.1935,0.134,0.092,0.0615,0.0115,0.0645,0.301,0.369,0.2095,0.0545,0.0015,0.0,0.0,0.0,0.0
5,29.off,./reduced-normalized-psb-db/Cup/29.off,Cup,0.8729761866069135,0.511786275101274,0.6198829304908762,1.0176335748877532,0.5090317431745346,0.3905849873628533,0.098,0.1725,0.221,0.194,0.1395,0.0935,0.0475,0.021,0.011,0.002,0.0,0.006,0.211,0.378,0.299,0.095,0.011,0.0,0.0,0.0,0.016508254127063533,0.05652826413206603,0.0945472736368184,0.12056028014007003,0.1790895447723862,0.21360680340170085,0.13656828414207103,0.10805402701350675,0.06353176588294147,0.011005502751375688,0.004016064257028112,0.03614457831325301,0.06526104417670683,0.11746987951807229,0.13654618473895583,0.1746987951807229,0.18122489959839358,0.1716867469879518,0.09236947791164658,0.020582329317269075,0.0425,0.2185,0.3165,0.2795,0.1295,0.0135,0.0,0.0,0.0,0.0
6,209.off,./reduced-normalized-psb-db/Plier/209.off,Plier,0.3735482001368781,0.40864857521732023,0.3275868572866467,0.472549281358929,0.6216409131545073,0.8612841700847123,0.2265,0.178,0.134,0.099,0.0705,0.0665,0.072,0.0665,0.058,0.029,0.077,0.233,0.214,0.17,0.17,0.136,0.0,0.0,0.0,0.0,0.07253626813406704,0.14607303651825912,0.1585792896448224,0.15157578789394696,0.13706853426713356,0.11455727863931967,0.10055027513756878,0.06903451725862932,0.03901950975487744,0.011005502751375688,0.029633350075339026,0.1461577096936213,0.26017076845806125,0.18985434455047714,0.12656956303365144,0.09643395278754395,0.06880964339527876,0.047714716223003516,0.025615268709191362,0.009040683073832245,0.2835,0.539,0.171,0.0065,0.0,0.0,0.0,0.0,0.0,0.0
7,211.off,./reduced-normalized-psb-db/Plier/211.off,Plier,0.3639196816087879,0.4063347055340983,0.31572820577990346,0.46513638414541864,0.5459213993301398,0.9538847727148481,0.251,0.1995,0.119,0.086,0.058,0.0685,0.0665,0.073,0.0525,0.026,0.093,0.238,0.214,0.17,0.177,0.108,0.0,0.0,0.0,0.0,0.08412618928392589,0.1512268402603906,0.1587381071607411,0.16675012518778168,0.13069604406609914,0.1256885327991988,0.0786179268903355,0.061091637456184275,0.03104656985478217,0.012018027040560842,0.027054108216432865,0.18937875751503006,0.2785571142284569,0.19539078156312625,0.11422845691382766,0.0906813627254509,0.053607214428857713,0.03006012024048096,0.018036072144288578,0.003006012024048096,0.318,0.5485,0.132,0.0015,0.0,0.0,0.0,0.0,0.0,0.0
8,108.off,./reduced-normalized-psb-db/Chair/108.off,Chair,0.5060424195432924,0.43583745920424316,0.5166089085485467,0.6186581380095065,0.6431201425267186,0.4025736606216424,0.1195,0.1925,0.202,0.1445,0.123,0.093,0.064,0.0345,0.0195,0.0075,0.018,0.21,0.296,0.231,0.159,0.086,0.0,0.0,0.0,0.0,0.029131089904570567,0.11602209944751381,0.1391260673028629,0.19337016574585636,0.209442491210447,0.15419387242591662,0.08337518834756404,0.04269211451531894,0.020090406830738324,0.012556504269211451,0.007503751875937969,0.07053526763381691,0.15507753876938468,0.20760380190095049,0.19259629814907453,0.19609804902451225,0.10755377688844422,0.0415207603801901,0.018509254627313655,0.0030015007503751876,0.117,0.384,0.346,0.1345,0.0185,0.0,0.0,0.0,0.0,0.0
9,104.off,./reduced-normalized-psb-db/Chair/104.off,Chair,0.4236973787352952,0.4061338028190641,0.4046483613361746,0.7826377736449771,0.5539324121524313,0.40654267432564045,0.1325,0.193,0.1955,0.1325,0.1205,0.095,0.0555,0.0375,0.027,0.011,0.073,0.226,0.249,0.179,0.202,0.071,0.0,0.0,0.0,0.0,0.046546546546546545,0.09559559559559559,0.13163163163163163,0.23673673673673673,0.1971971971971972,0.15015015015015015,0.06356356356356356,0.03303303303303303,0.03203203203203203,0.013513513513513514,0.015,0.087,0.151,0.2055,0.221,0.176,0.0905,0.0395,0.0125,0.002,0.139,0.4005,0.326,0.121,0.0135,0.0,0.0,0.0,0.0,0.0
